Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
40 SPERIDAKIS TER,5,94-128,94,128,2778,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1062889195 42.3597678862)
13 BELLIS CIR,9,271-8,271,8,9788,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1332903271 42.3899193934)
61 ANTRIM ST,6,114-123,114,123,4220,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1029729973 42.3718845058)
64 PEARL ST,5,93-32,93,32,4564,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1038822161 42.3632373411)
58-64 NORFOLK ST,4,91-29,91,29,8388,111,Residential,4-8-UNIT-APT,8,,,,,,POINT (-71.1007376103 42.3655769844)
18 PETERS ST,5,96-112,96,112,3255,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1068026628 42.357277085)
112 LEXINGTON AVE,10,247-100,247,100,5296,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1409203604 42.3787603273)
233 HARVARD ST,4,88-13,88,13,7598,121,Boarding House/Assisted Living,BOARDING-HSE,2,,true,,,Other NonTax,POINT (-71.1001420411 42.3679731109)
56 HIGHLAND AVE,6,112-55,112,55,2975,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1052716361 42.373287674)
95 CUSHING ST,13,254-64,254,64,6327,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1516239476 42.3775310276)
30 FAIRFIELD ST,11,198-10,198,10,6050,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1268176451 42.3916886592)
196 RAYMOND ST,9,203B-21,203B,21,5332,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1288151669 42.3891537039)
170 ELM ST,3,79-3,79,3,2300,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0963490987 42.3708867106)
10 SARGENT ST,11,195-167,195,167,1799,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.131809233 42.3928721201)
111 FAYERWEATHER ST,10,233-26,233,26,5500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1372492473 42.3830307825)
20 CLARY ST,3,83-70,83,70,2139,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0985405565 42.3739955599)
24 WILLOW ST,3,78-87,78,87,2604,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0932332779 42.3705764973)
133 APPLETON ST,10,232-27,232,27,4612,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1343884627 42.38110069740001)
73 PEMBERTON ST,11,199-10,199,10,4210,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1262067709 42.390739471)
8 PARK AVE,13,253-28,253,28,2878,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1482988762 42.378549215)
9 CHALK ST,5,104-36,104,36,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1091247213 42.3617543327)
368 WASHINGTON ST,4,91-95,91,95,2007,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0996641063 42.3655236369)
7 CORNELIUS WAY,3,39-114,39,114,3864,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0898131835 42.3688406549)
265 PUTNAM AVE,7,129-30,129,30,4676,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1140097969 42.3627486921)
83 BRISTOL ST,4,77-41,77,41,5942,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.0941382494 42.3679059146)
199 CONCORD AVE,9,229-135,229,135,8021,334,Commercial,GAS-STATION,0,,,,,,POINT (-71.131029067 42.3826852362)
8 BRATTLE ST,10,169-50,169,50,6453,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.119720137 42.3735874646)
22 MT PLEASANT ST,9,201-23,201,23,6304,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1246129428 42.3872998283)
15 HUTCHINSON ST,10,230-128,230,128,2463,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1342594556 42.3824854508)
44 KELLEY ST,9,229-57,229,57,4800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1310526304 42.3830086499)
55-57 FAIRMONT ST,5,127-90,127,90,4958,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1116916725 42.3624863646)
110 AUBURN ST,5,93-134,93,134,5680,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1034428878 42.3624027405)
72 ALPINE ST,9,262-59,262,59,4914,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1369914966 42.3853631907)
123 HARVEY ST,11,190-276,190,276,2031,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.13407597200002 42.3977780762)
37 DANA ST,6,135-53,135,53,4904,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1092732892 42.3716736447)
8 COGSWELL CT,11,199-174,199,174,3097,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1256719155 42.3896368376)
1420 CAMBRIDGE ST,6,114A-17,114A,17,9173,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.1018696373 42.3736126408)
10-12 MALCOLM RD,10,234-111,234,111,4000,101,Residential,SNGL-FAM-RES,2,,,,,,POINT (-71.1392809911 42.3815777066)
57 CLIFTON ST,11,193-31,193,31,3000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1359947647 42.3953631141)
42 GRISWOLD ST,12,267B-145,267B,145,4000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1561934007 42.392029956900004)
21 FOREST ST,8,153-28,153,28,10466,112,Residential,>8-UNIT-APT,10,,,,,,POINT (-71.1163828932 42.3854475538)
49 MURRAY HILL RD,11,185-15,185,15,3896,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.133957352 42.4020654637)
159-161 HANCOCK ST,6,115-57,115,57,10300,112,Residential,>8-UNIT-APT,17,,,,true,,POINT (-71.1068457428 42.370586738)
340 WINDSOR ST,3,78-40,78,40,3724,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0942148203 42.3695032684)
8 REED STREET TER,11,190-199,190,199,2095,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1328801402 42.3963287119)
19 BAY ST,7,121-29,121,29,1963,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1111291396 42.3680907005)
98 AVON HILL ST,9,210-81,210,81,2780,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1248758013 42.3859829403)
2-4 ROCKINGHAM PL,5,98-65,98,65,5738,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1104482319 42.3558734796)
767 CONCORD AVE,12,267C-70,267C,70,49857,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1535113291 42.3928906269)
74-76 DANA ST,6,139-72,139,72,2938,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1071756258 42.3739915252)
109 REED ST,11,191-30,191,30,1828,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1319929655 42.3964777909)
93 INMAN ST,6,114-83,114,83,2502,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1021260787 42.3716457542)
190 ELM ST,3,79-119,79,119,2355,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0960199946 42.3712617863)
31R COMMERCIAL AVE,1,10-44,10,44,13075,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.0761663464 42.3667073136)
331 HURLEY ST,1,26-143,26,143,1148,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0847982011 42.3689873043)
56 CREIGHTON ST,11,200-66,200,66,5135,400,Industrial,MANUFACTURNG,0,,,,,,POINT (-71.1233336746 42.3893749842)
154 PLEASANT ST,5,101-185,101,185,1588,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.11289891990002 42.3597876347)
6 BERKELEY ST,10,217-4,217,4,16540,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.124866611 42.3776208062)
5 REED STREET CT,11,193-199,193,199,2200,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1325503658 42.3952205132)
328 BROADWAY,6,108-34,108,34,8483,031,Commerical w/ Residential,MULTIUSE-COM,1,mixed,,,true,,POINT (-71.1019269201 42.369373663)
26-34 SODEN ST,7,124-16,124,16,6500,112,Residential,>8-UNIT-APT,9,,,,true,,POINT (-71.1085717444 42.366195824)
11-13 CLEVELAND ST,6,135-54,135,54,4200,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1094843372 42.3717508752)
29 LINE ST,6,141-43,141,43,1722,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1065910797 42.37726384)
8 AMORY ST,6,109-86,109,86,4379,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1015497665 42.3699171533)
305 HARVARD ST,6,115-89,115,89,4484,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1061177526 42.3700642234)
254 MASSACHUSETTS AVE,5,68-47,68,47,143680,406,Office/R&D,HIGH-TECH,0,,,,,,POINT (-71.0975655417 42.3609736287)
92 RIVER ST,5,105-107,105,107,1910,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.1076769684 42.3641045454)
10 WYMAN RD,10,231-39,231,39,10194,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1331428811 42.3808030262)
30 SHEPARD ST,9,173-4,173,4,5119,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.122110656 42.3810482553)
15 BRATTLE CIR,10,246A-30,246A,30,5179,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1418016512 42.3756329003)
34 THINGVALLA AVE,13,255-87,255,87,3525,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1530536057 42.3759820171)
331 CONCORD AVE,9,262-123,262,123,4335,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1352168195 42.3845960281)
14 NOTRE DAME AVE,11,195-132,195,132,3520,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1312891767 42.3916234516)
160 PLEASANT ST,5,101-178,101,178,1545,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1130509226 42.3596498581)
26 GRANVILLE RD,10,233-143,233,143,3491,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1361402543 42.3823154494)
86 ABERDEEN AVE,10,252A-127,252A,127,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1471515382 42.3774198739)
16 ST PAUL ST,6,107-62,107,62,3649,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1035956865 42.3679851122)
CAMBRIDGEPARK DR,11,269.5-100,269.5,100,323548,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.1417028068 42.3957205598)
237 COLUMBIA ST,4,86-65,86,65,1860,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.09685514 42.369137723)
17 HURLBUT ST,9,175-22,175,22,5092,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1208125798 42.383688493)
20A COTTAGE ST,5,103-109,103,109,2535,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1066413741 42.3626352224)
30 RICE ST,11,196-80,196,80,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1287290532 42.3945146285)
12 RESERVOIR ST,10,238-77,238,77,21155,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1371115557 42.3783826237)
337 CAMBRIDGE ST,1,23-138,23,138,2686,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,4,groundfloor,,,,,POINT (-71.0816377469 42.3714259161)
5 BALLORD PL,7,126-131,126,131,4344,316,Commercial,WAREHOUSE,0,,,,true,,POINT (-71.1132094418 42.3639877528)
16 MELLEN ST,8,157-5,157,5,7056,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.1184263927 42.380565498)
196 HAMPSHIRE ST,6,110-98,110,98,1142,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.10007098 42.3728710406)
23 GRISWOLD ST,12,267B-221,267B,221,4429,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.156906491 42.39170062470001)
203 PEMBERTON ST,11,194-43,194,43,10982,111,Residential,4-8-UNIT-APT,7,,,,true,,POINT (-71.132164574 42.39088446)
4 THERIAULT CT,11,190-38,190,38,2112,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1357635786 42.3965259633)
142 RAYMOND ST,9,204-124,204,124,4482,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1279446604 42.3876320937)
170 LEXINGTON AVE,10,247-113,247,113,6109,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1413145871 42.3798838581)
102 PROSPECT ST,4,90-172,90,172,3254,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1019909478 42.3675837439)
27 BROOKLINE ST,5,93-135,93,135,18199,112,Residential,>8-UNIT-APT,52,,,,,,POINT (-71.1024375038 42.3633302638)
1696 MASSACHUSETTS AVE,9,174-25,174,25,8300,342,Health,MEDICAL-OFFC,0,,,,,,POINT (-71.1200601642 42.3830302438)
200 GREEN ST,5,93-120,93,120,2204,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1026661239 42.3636712088)
107 WINTER ST,1,22-78,22,78,3275,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0826131964 42.3729633974)
424 CAMBRIDGE ST,1,23-65,23,65,1938,0105,Residential Ground Floor Comm,MXD THREE-FM-RE,3,groundfloor,,,,,POINT (-71.0833204359 42.3712448295)
9 PETERS ST,5,96-31,96,31,3320,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1070583388 42.3576125701)
56 BELLIS CIR,9,271-31,271,31,3928,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1330761754 42.3902330785)
50 UNION ST,3,79-70,79,70,2398,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0945753608 42.3706718035)
14 ALBERTA TER,11,191-101,191,101,2726,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.130209786 42.3966702801)
289 HURON AVE,10,232-22,232,22,3691,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1353851119 42.3816351854)
25 HUNTING ST,3,36-11,36,11,1732,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0911199434 42.3735563242)
210 BROADWAY,4,42-97,42,97,35750,346,Office,INV-OFFICE,0,,,,,,POINT (-71.0934712441 42.3658778045)
82 SCHOOL ST,4,75-47,75,47,2760,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.098072525 42.363825916100005)
2 GRAY GDNS W,9,227-69,227,69,10999,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1285623124 42.3830111081)
99 LARCH RD,10,247-222,247,222,6422,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1425392127 42.3787807204)
156 LINE ST,6,111-43,111,43,6222,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.1027787056 42.3742170096)
81 GROZIER RD,10,247-207,247,207,6123,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1418527967 42.3800663865)
198 WALDEN ST,9,205-58,205,58,3800,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.129127603 42.3866225021)
80 RIVER ST,5,105-117,105,117,4618,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,6,groundfloor,,,,,POINT (-71.1075062017 42.3641195014)
983R MASSACHUSETTS AVE,6,116-94,116,94,5000,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1107512874 42.3694221938)
42 FRESH POND LN,10,251-69,251,69,7664,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1444413732 42.3774311503)
49 BRISTOL ST,3,40-54,40,54,4300,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0924756396 42.368446571)
75 PLEASANT ST,5,125-81,125,81,3510,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1101201334 42.362625458)
345 HARVARD ST,6,135-106,135,106,13875,112,Residential,>8-UNIT-APT,28,,,,true,,POINT (-71.1099002759 42.3712372933)
14A BELLIS CIR,9,271-61,271,61,2733,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.13345788430001 42.3896633863)
16 LEE ST,6,117-32,117,32,5712,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1068739346 42.3683564078)
74 ANTRIM ST,6,114-51,114,51,3600,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.102353669 42.371910752)
8 MULLER AVE,11,186-68,186,68,4159,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.13278108760001 42.4005822515)
13 WEST ST,6,108-81,108,81,2034,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1041171172 42.3697926653)
380 HARVARD ST,6,134-9,134,9,8080,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.1129962146 42.37147065600001)
255 GROVE ST,13,266-2,266,2,10080,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.15956072530001 42.3856702991)
11 STEARNS ST,9,228-43,228,43,7200,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1313093363 42.3855576953)
91 MONTGOMERY ST,11,190-127,190,127,3760,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1329860873 42.3960671435)
54 BRATTLE ST,10,168-57,168,57,6321,943,Higher Education,Other Educ & Research Org,0,,,,,Educ NonTax,POINT (-71.1222922042 42.37444242000001)
99 ABERDEEN AVE,10,251-172,251,172,5712,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1465754187 42.3779544522)
689 MASSACHUSETTS AVE,6,107-135,107,135,9788,345,Office,RETAIL-OFFIC,0,,,,,Religious NonTax,POINT (-71.1042382245 42.366081016)
40 SPRING ST,1,19-53,19,53,7633,111,Residential,4-8-UNIT-APT,5,,,,true,,POINT (-71.0794261716 42.36869971000001)
88 AVON HILL ST,9,210-77,210,77,3395,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.124792206 42.3858431149)
242 HURON AVE,10,231-27,231,27,4805,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1338562832 42.3813353363)
66 MATIGNON RD,11,185-49,185,49,4703,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1336213719 42.4022327219)
35 HARDING ST,3,36-200,36,200,3641,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.0905701036 42.3735990558)
4 HURLBUT ST,9,175-44,175,44,3591,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1201570432 42.3835390991)
316-318 WALDEN ST,9,229-91,229,91,6065,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1324975946 42.3848815674)
23 BELLIS CIR,9,271-11,271,11,1616,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1339520808 42.3899399023)
2-8 CHANNING PL,10,238-44,238,44,12906,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1358839186 42.3777464631)
54-56 BANKS ST,7,132-61,132,61,3432,9421,Education Residential,Private College Res Units,1,,,,,Religious NonTax,POINT (-71.1144478252 42.3692676977)
25 DECATUR ST,5,94-145,94,145,5800,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1055284914 42.3613824286)
289 SIDNEY ST,5,65-9,65,9,4000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.10808973490002 42.3556745395)
259 UPLAND RD,9,206-53,206,53,3667,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1286836015 42.385556323)
50 MT PLEASANT ST,9,201-28,201,28,2983,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1250047779 42.3880940039)
373 WALDEN ST,10,263-53,263,53,6779,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,8,groundfloor,,,true,,POINT (-71.1344553886 42.3837598219)
7 SPARKS ST,10,221-37,221,37,3200,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1307543069 42.3751402941)
18 LEONARD AVE,6,140-49,140,49,3643,121,Boarding House/Assisted Living,BOARDING-HSE,2,,true,,,Other NonTax,POINT (-71.1057859559 42.37589957040001)
25 LEE ST,6,117-103,117,103,18426,112,Residential,>8-UNIT-APT,37,,,,,,POINT (-71.1068333012 42.3692361727)
7 WILLARD ST,10,220-158,220,158,4500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1281297741 42.3763833529)
47 CONCORD AVE,9,227-90,227,90,316198,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1278892256 42.38155172)
219-221 HARVARD ST,4,88-67,88,67,8506,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.099306591 42.3676568104)
452 FRANKLIN ST,7,124-3,124,3,3250,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.109721655 42.3669249697)
20 SIDNEY ST,5,69-62B,69,62B,18727,340,Office,GEN-OFFICE,0,,,,true,,POINT (-71.1000488668 42.3617559817)
18 PLYMOUTH ST,3,40-59,40,59,1350,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0914621146 42.3685250454)
56 EUSTIS ST,8,150-9,150,9,1902,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1139591568 42.3832747694)
44 COOLIDGE AVE,10,242A-126,242A,126,8017,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1397205552 42.37183094280001)
17 CLINTON ST,6,117-48,117,48,4048,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.106055916 42.3687182873)
18 GORE ST,1,20-37,20,37,2500,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0782265081 42.3713332767)
240 BROADWAY,4,76-49,76,49,4175,106,Transportation,RES-LAND-IMP,0,,,,,,POINT (-71.0952836789 42.3668642264)
12 MT VERNON ST,9,177-82,177,82,890,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1199543101 42.386974666)
PLEASANT ST,5,101-125,101,125,217,972,Transportation,Road Right of Way,0,,,,,City NonTax,POINT (-71.1109699759 42.3615177715)
118 PLEASANT ST,5,101-57,101,57,3060,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.111524678 42.3609556844)
149-315 HANCOCK ST,6,115-58,115,58,7240,112,Residential,>8-UNIT-APT,12,,,,true,,POINT (-71.1069506512 42.3703082129)
97 SECOND ST,1,19-44,19,44,1686,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.0793494888 42.3682815042)
18 OLD DEE RD,10,251-247,251,247,7680,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1452138535 42.3759519008)
21 SCIARAPPA ST,1,22-142,22,142,3480,104,Residential,TWO-FAM-RES,0,,,,true,,POINT (-71.0814366363 42.372384735400004)
66 GORE ST,1,21-82,21,82,1805,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.0806891188 42.3716968451)
43 DAVENPORT ST,11,179-79,179,79,4244,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1186871081 42.3903682652)
587 MT AUBURN ST,10,251-221,251,221,9503,334,Commercial,GAS-STATION,0,,,,,,POINT (-71.145555777 42.3755446212)
194 ELM ST,3,79-8,79,8,1700,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0960795717 42.3713874016)
200 HAMPSHIRE ST,6,110-19,110,19,6446,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.1002833782 42.3728856045)
130 MAGAZINE ST,5,102-4,102,4,11250,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.1109269808 42.3588260884)
23 CLINTON ST,6,117-46,117,46,3046,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1058149083 42.3689711149)
109 COOLIDGE HILL,10,242A-59,242A,59,9692,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1391703815 42.3733992305)
30 MAGOUN ST,11,189-27,189,27,4000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1349555753 42.3996970267)
112 FAYERWEATHER ST,10,233-100,233,100,2793,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1367521468 42.382858002400006)
94 BERKSHIRE ST,3,37-1,37,1,3732,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0904066589 42.3707253619)
49 ALLSTON ST,5,66-43,66,43,3500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1057029142 42.3574379466)
41 CAMERON AVE,11,184-128,184,128,3510,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1291827176 42.3987174641)
192 MONSIGNOR OBRIEN HWY,1,20-80,20,80,1138,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0789003367 42.3719361898)
192 THIRD ST,1,17-87,17,87,1420,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0807208861 42.3678330996)
558 GREEN ST,7,120-23,120,23,4860,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1103008938 42.3679437713)
39 RINDGE AVE,11,198-59,198,59,4062,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.126615562 42.3926913504)
1 ALLSTON CT,5,102-28,102,28,2250,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1098491115 42.3592166154)
469-471 CONCORD AVE,9,261-67,261,67,3957,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1400975306 42.3867189425)
6 IVY ST,9,262-37,262,37,4000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.133492402 42.3855022199)
67 NORFOLK ST,4,90-182,90,182,2632,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.1010705061 42.3658846539)
744 CAMBRIDGE ST,3,37-13,37,13,2859,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.0894043116 42.37200638000001)
6 FORT WASHINGTON PL,5,96-141,96,141,1104,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1074860578 42.35660011)
8 CRAIGIE ST,10,218-33,218,33,6450,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1269452295 42.3787926854)
8 KENNEDY RD,10,238-11,238,11,5539,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1342904084 42.3778803986)
1 AMHERST ST,2,47-88,47,88,24256,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.0848768616 42.3611826895)
115 INDUSTRIAL PARK RD,1,1A-63,1A,63,55166,972,Transportation,Road Right of Way,0,,,,,State NonTax,POINT (-71.067768314 42.3702067133)
56 MARKET ST,4,86-42,86,42,3465,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0972005949 42.3688306263)
200-202 BANKS ST,7,130-113,130,113,3625,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1145508745 42.3661006635)
80 UPLAND RD,9,177-51,177,51,10632,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1224147921 42.3875183014)
97 JACKSON ST,11,190-72,190,72,6000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.134987831 42.3961921224)
20 WASHBURN AVE,11,184-79,184,79,3289,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1312607635 42.399200522700006)
120 JACKSON ST,11,190-34,190,34,1787,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1354859035 42.3968079312)
34 LINNAEAN ST,9,212-14,212,14,7370,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1229819085 42.3834916999)
